member_casual,weekday,number_of_rides,average_duration
casual,Sun,399181,1981.01400367252
casual,Mon,223820,1764.56702707533
casual,Tue,208468,1592.29193449354
casual,Wed,211066,1501.60702339553
casual,Thu,219129,1486.49558479252
casual,Fri,284336,1612.25062250295
casual,Sat,463135,1875.15030606627
member,Sun,305334,940.811056089397
member,Mon,328338,790.306805791593
member,Tue,362276,769.506089279996
member,Wed,373322,774.12883783972
member,Thu,355253,767.728061409756
member,Fri,351032,795.825480298092
member,Sat,348317,919.100727211132
